sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2
20170905-A01	20170905	A01	1	1.726404375	50x dilution	NA18855	NA18870
20170905-A02	20170905	A02	1	1.445692561	50x dilution	NA18855	NA18870
20170905-A03	20170905	A03	1	1.889617025	50x dilution	NA18855	NA18870
20170905-A04	20170905	A04	1	0.47537227	50x dilution	NA18855	NA18870
20170905-A05	20170905	A05	1	0.559682703	50x dilution	NA18855	NA18870
20170905-A06	20170905	A06	1	2.135351839	50x dilution	NA18855	NA18870
20170905-A07	20170905	A07	1	1.999639596	50x dilution	NA18855	NA18870
20170905-A08	20170905	A08	1	2.011963775	50x dilution	NA18855	NA18870
20170905-A09	20170905	A09	1	1.879088867	50x dilution	NA18855	NA18870
20170905-A10	20170905	A10	1	1.933187199	50x dilution	NA18855	NA18870
20170905-A11	20170905	A11	1	1.510009179	50x dilution	NA18855	NA18870
20170905-A12	20170905	A12	1	1.246756143	50x dilution	NA18855	NA18870
20170905-B01	20170905	B01	1	2.082850431	50x dilution	NA18855	NA18870
20170905-B02	20170905	B02	1	0.498756651	50x dilution	NA18855	NA18870
20170905-B03	20170905	B03	1	1.768951084	50x dilution	NA18855	NA18870
20170905-B04	20170905	B04	1	1.794976788	50x dilution	NA18855	NA18870
20170905-B05	20170905	B05	1	1.347105365	50x dilution	NA18855	NA18870
20170905-B06	20170905	B06	1	1.439364917	50x dilution	NA18855	NA18870
20170905-B07	20170905	B07	1	2.072595721	50x dilution	NA18855	NA18870
20170905-B08	20170905	B08	1	2.245647225	50x dilution	NA18855	NA18870
20170905-B09	20170905	B09	1	1.560520269	50x dilution	NA18855	NA18870
20170905-B10	20170905	B10	1	1.555848928	50x dilution	NA18855	NA18870
20170905-B11	20170905	B11	1	1.7410497	50x dilution	NA18855	NA18870
20170905-B12	20170905	B12	1	0.830888181	50x dilution	NA18855	NA18870
20170905-C01	20170905	C01	1	2.105127468	50x dilution	NA18855	NA18870
20170905-C02	20170905	C02	1	2.306146495	50x dilution	NA18855	NA18870
20170905-C03	20170905	C03	1	2.011219077	50x dilution	NA18855	NA18870
20170905-C04	20170905	C04	1	2.166211696	50x dilution	NA18855	NA18870
20170905-C05	20170905	C05	1	0.488161244	50x dilution	NA18855	NA18870
20170905-C06	20170905	C06	1	1.798733989	50x dilution	NA18855	NA18870
20170905-C07	20170905	C07	1	1.982468594	50x dilution	NA18855	NA18870
20170905-C08	20170905	C08	1	1.575687665	50x dilution	NA18855	NA18870
20170905-C09	20170905	C09	1	0.297357557	50x dilution	NA18855	NA18870
20170905-C10	20170905	C10	1	1.343421106	50x dilution	NA18855	NA18870
20170905-C11	20170905	C11	1	1.749141714	50x dilution	NA18855	NA18870
20170905-C12	20170905	C12	1	1.805529055	50x dilution	NA18855	NA18870
20170905-D01	20170905	D01	1	1.914912573	50x dilution	NA18855	NA18870
20170905-D02	20170905	D02	1	0.506851329	50x dilution	NA18855	NA18870
20170905-D03	20170905	D03	1	2.114166627	50x dilution	NA18855	NA18870
20170905-D04	20170905	D04	1	2.26461301	50x dilution	NA18855	NA18870
20170905-D05	20170905	D05	1	0.362023629	50x dilution	NA18855	NA18870
20170905-D06	20170905	D06	1	1.754548369	50x dilution	NA18855	NA18870
20170905-D07	20170905	D07	1	1.728119915	50x dilution	NA18855	NA18870
20170905-D08	20170905	D08	1	1.779999724	50x dilution	NA18855	NA18870
20170905-D09	20170905	D09	1	2.343250001	50x dilution	NA18855	NA18870
20170905-D10	20170905	D10	1	1.615845952	50x dilution	NA18855	NA18870
20170905-D11	20170905	D11	1	0.616355471	50x dilution	NA18855	NA18870
20170905-D12	20170905	D12	1	0.988720928	50x dilution	NA18855	NA18870
20170905-E01	20170905	E01	1	2.282666309	50x dilution	NA18855	NA18870
20170905-E02	20170905	E02	1	2.0411321	50x dilution	NA18855	NA18870
20170905-E03	20170905	E03	1	1.387567224	50x dilution	NA18855	NA18870
20170905-E04	20170905	E04	1	1.680976349	50x dilution	NA18855	NA18870
20170905-E05	20170905	E05	1	0.415987296	50x dilution	NA18855	NA18870
20170905-E06	20170905	E06	1	0.780431315	50x dilution	NA18855	NA18870
20170905-E07	20170905	E07	1	2.17025252	50x dilution	NA18855	NA18870
20170905-E08	20170905	E08	1	1.654411279	50x dilution	NA18855	NA18870
20170905-E09	20170905	E09	1	2.447926101	50x dilution	NA18855	NA18870
20170905-E10	20170905	E10	1	0.600418207	50x dilution	NA18855	NA18870
20170905-E11	20170905	E11	1	1.948048945	50x dilution	NA18855	NA18870
20170905-E12	20170905	E12	1	1.404510097	50x dilution	NA18855	NA18870
20170905-F01	20170905	F01	1	1.756817329	50x dilution	NA18855	NA18870
20170905-F02	20170905	F02	1	2.067624227	50x dilution	NA18855	NA18870
20170905-F03	20170905	F03	1	0.464579026	50x dilution	NA18855	NA18870
20170905-F04	20170905	F04	1	1.700538045	50x dilution	NA18855	NA18870
20170905-F05	20170905	F05	1	0.797185037	50x dilution	NA18855	NA18870
20170905-F06	20170905	F06	1	2.126771314	50x dilution	NA18855	NA18870
20170905-F07	20170905	F07	1	1.262105691	50x dilution	NA18855	NA18870
20170905-F08	20170905	F08	1	0.523566722	50x dilution	NA18855	NA18870
20170905-F09	20170905	F09	1	2.201670141	50x dilution	NA18855	NA18870
20170905-F10	20170905	F10	1	1.902813948	50x dilution	NA18855	NA18870
20170905-F11	20170905	F11	1	1.900560282	50x dilution	NA18855	NA18870
20170905-F12	20170905	F12	1	2.055263206	50x dilution	NA18855	NA18870
20170905-G01	20170905	G01	1	2.57587049	50x dilution	NA18855	NA18870
20170905-G02	20170905	G02	1	2.254450665	50x dilution	NA18855	NA18870
20170905-G03	20170905	G03	1	0.447497321	50x dilution	NA18855	NA18870
20170905-G04	20170905	G04	1	1.631149534	50x dilution	NA18855	NA18870
20170905-G05	20170905	G05	1	1.843754854	50x dilution	NA18855	NA18870
20170905-G06	20170905	G06	1	0.92296151	50x dilution	NA18855	NA18870
20170905-G07	20170905	G07	1	2.028697118	50x dilution	NA18855	NA18870
20170905-G08	20170905	G08	1	0.622022808	50x dilution	NA18855	NA18870
20170905-G09	20170905	G09	1	2.201831588	50x dilution	NA18855	NA18870
20170905-G10	20170905	G10	1	1.992598844	50x dilution	NA18855	NA18870
20170905-G11	20170905	G11	1	2.298546936	50x dilution	NA18855	NA18870
20170905-G12	20170905	G12	1	1.045407604	50x dilution	NA18855	NA18870
20170905-H01	20170905	H01	1	0.54580467	50x dilution	NA18855	NA18870
20170905-H02	20170905	H02	1	0.607171669	50x dilution	NA18855	NA18870
20170905-H03	20170905	H03	1	2.581446782	50x dilution	NA18855	NA18870
20170905-H04	20170905	H04	1	2.634504183	50x dilution	NA18855	NA18870
20170905-H05	20170905	H05	1	2.488371231	50x dilution	NA18855	NA18870
20170905-H06	20170905	H06	1	1.845025715	50x dilution	NA18855	NA18870
20170905-H07	20170905	H07	1	1.332161793	50x dilution	NA18855	NA18870
20170905-H08	20170905	H08	1	0.81567123	50x dilution	NA18855	NA18870
20170905-H09	20170905	H09	1	1.893041054	50x dilution	NA18855	NA18870
20170905-H10	20170905	H10	1	1.95393271	50x dilution	NA18855	NA18870
20170905-H11	20170905	H11	1	0.451719436	50x dilution	NA18855	NA18870
20170905-H12	20170905	H12	1	2.331087863	50x dilution	NA18855	NA18870
